"Eil.
Nr.","Savivaldybės
pavadinimas","Bendras
gyventojų
skaičius",,Amžiaus grupės,
,,,0 - 6,7 - 17,Pensinio amžiaus
1,Akmenės r. sav.,22244,1081,2222,5645
2,Alytaus m. sav.,57529,2851,5613,13531
3,Alytaus r. sav.,29018,1464,2925,6761
4,Anykščių r. sav.,26930,1057,2292,7295
5,Birštono sav.,4653,209,416,1195
6,Biržų r. sav.,27678,1270,2675,7015
7,Druskininkų sav.,22324,1100,1949,5378
8,Elektrėnų sav.,26178,1520,2553,5314
9,Ignalinos r. sav.,17240,619,1424,4838
10,Jonavos r. sav.,46241,2540,5263,9870
11,Joniškio r. sav.,24044,1059,2455,5723
12,Jurbarko r. sav.,29543,1413,2992,6895
13,Kaišiadorių r. sav.,31560,1605,3344,7016
14,Kalvarijos sav.,11847,723,1422,2349
15,Kauno m. sav.,312923,19932,30030,74313
16,Kauno r. sav.,97700,6456,11889,16773
17,Kazlų Rūdos sav.,12428,700,1369,2767
18,Kėdainių r. sav.,52603,2655,5633,12392
19,Kelmės r. sav.,30294,1347,3033,7410
20,Klaipėdos m. sav.,169895,11790,17186,36998
21,Klaipėdos r. sav.,58896,3692,7096,9612
22,Kretingos r. sav.,41282,2360,4597,8621
23,Kupiškio r. sav.,18960,824,1861,4768
24,Lazdijų r. sav.,21482,986,2118,5249
25,Marijampolės sav.,60360,3475,6438,12335
26,Mažeikių r. sav.,58673,3451,6630,11204
27,Molėtų r. sav.,19858,780,1753,4984
28,Neringos sav.,4820,149,383,762
29,Pagėgių sav.,9560,601,1055,1839
30,Pakruojo r. sav.,21440,980,2272,5016
31,Palangos m. sav.,17632,869,1689,4408
32,Panevėžio m. sav.,98280,5202,9606,23284
33,Panevėžio r. sav.,39934,2075,4114,8244
34,Pasvalio r. sav.,27070,1335,2874,6163
35,Plungės r. sav.,37775,2144,4131,7848
36,Prienų r. sav.,28669,1418,2757,6890
37,Radviliškio r. sav.,39745,2000,4238,8970
38,Raseinių r. sav.,35398,1694,3665,8416
39,Rietavo sav.,8512,471,923,1752
40,Rokiškio r. sav.,32682,1265,3010,8213
41,Skuodo r. sav.,19737,977,1935,4634
42,Šakių r. sav.,31409,1534,3285,6971
43,Šalčininkų r. sav.,34900,1922,3893,6403
44,Šiaulių m. sav.,111990,6921,10561,24338
45,Šiaulių r. sav.,44324,2263,4626,9462
46,Šilalės r. sav.,25895,1490,2919,5043
47,Šilutės r. sav.,45665,2685,5023,9063
48,Širvintų r. sav.,17071,852,1603,3826
49,Švenčionių r. sav.,26304,1116,2424,6426
50,Tauragės r. sav.,43933,2516,4525,9510
51,Telšių r. sav.,46282,2454,5001,10208
52,Trakų r. sav.,34761,2058,3632,6990
53,Ukmergės r. sav.,38253,1853,3570,9624
54,Utenos r. sav.,41226,1809,3604,10117
55,Varėnos r. sav.,24266,1042,2170,6207

56,Vilkaviškio r. sav.,40771,2040,4472,9219
57,Vilniaus m. sav.,574147,42940,60112,112088
58,Vilniaus r. sav.,102268,6211,12244,17200
59,Visagino sav.,23544,1332,2119,4979
60,Zarasų r. sav.,17580,738,1603,4555
,Iš viso:,3078226,181915,317216,664919
